id,source,target,mentions,norm_mentions
589,10.1002/lrh2.10032,10.1186/s13023-016-0444-9,1,0.05
1112,10.1007/s12325-017-0653-1,10.1186/s13023-016-0444-9,1,0.03030303030303
1168,10.1007/s40271-018-0344-2,10.1186/s13023-016-0444-9,1,0.037037037037037
1230,10.1016/j.bbr.2018.08.003,10.1007/s12035-016-0271-y,1,0.020833333333333
1488,10.1016/j.freeradbiomed.2018.06.035,10.1007/s12035-016-0271-y,2,0.015503875968992
1936,10.1016/j.yebeh.2017.11.015,10.1186/s13023-016-0444-9,1,0.019230769230769
4737,10.1136/jnnp-2019-321737,10.1212/wnl.0000000000004179,3,0.047619047619048
4811,10.1155/2017/5135429,10.1007/s12035-016-0271-y,2,0.010471204188482
4953,10.1155/2020/1021258,10.3390/md15040089,2,0.012987012987013
5023,10.1159/000489547,10.1007/s12035-016-0271-y,1,0.017857142857143
5067,10.11606/d.17.2019.tde-26072019-171040,10.3390/md15040089,2,0.027027027027027
5332,10.1186/s12911-019-0875-z,10.1186/s13023-016-0444-9,3,0.026785714285714
5477,10.1186/s13023-017-0568-6,10.1186/s13023-016-0444-9,1,0.038461538461539
5479,10.1186/s13023-017-0718-x,10.1186/s13023-016-0444-9,4,0.088888888888889
5776,10.1212/cpj.0000000000000834,10.1212/wnl.0000000000004179,1,0.006849315068493
5793,10.1212/nxg.0000000000000398,10.1212/wnl.0000000000004179,1,0.021276595744681
6100,10.1371/journal.pone.0219905,10.1186/s13023-016-0444-9,2,0.037037037037037
7372,10.3389/fnagi.2017.00184,10.1007/s12035-016-0271-y,1,0.00990099009901
7524,10.3389/fncel.2018.00520,10.1007/s12035-016-0271-y,2,0.025641025641026
7531,10.3389/fncel.2019.00104,10.3390/md15040089,1,0.006849315068493
7813,10.3389/fnins.2019.00175,10.1212/wnl.0000000000004179,6,0.032608695652174
8169,10.3389/fphar.2019.01551,10.1007/s12035-016-0271-y,1,0.009803921568627
8238,10.3389/fpsyt.2018.00133,10.1212/wnl.0000000000004179,2,0.022988505747127
8304,10.3390/app8040474,10.3390/md15040089,1,0.033333333333333
8338,10.3390/biom9120812,10.1007/s12035-016-0271-y,3,0.031914893617021
8667,10.3390/ijms19082197,10.3390/md15040089,1,0.007692307692308
8974,10.3390/jcm8111973,10.3892/etm.2018.6726,2,0.054054054054054
9001,10.3390/md16030082,10.3390/md15040089,5,0.108695652173913
9091,10.3390/molecules24213915,10.3390/md15040089,1,0.027777777777778
9134,10.3390/nu10111605,10.1007/s12035-016-0271-y,2,0.007936507936508
9708,10.7916/d8vd8ff5,10.1212/wnl.0000000000004179,2,0.011363636363636
