,id,source,target,section
2508,1604769204,10.1186/s12911-019-0875-z,10.1186/s13023-016-0444-9,Results
2509,1604769273,10.1186/s12911-019-0875-z,10.1186/s13023-016-0444-9,Results
2510,1604769292,10.1186/s12911-019-0875-z,10.1186/s13023-016-0444-9,Results
2511,1598899947,10.1371/journal.pone.0219905,10.1186/s13023-016-0444-9,Discussion
2512,1997269600,10.1016/j.yebeh.2017.11.015,10.1186/s13023-016-0444-9,Statistics and data analysis
2513,2133231337,10.1007/s40271-018-0344-2,10.1186/s13023-016-0444-9,"Introduction
   "
2514,1437158380,10.1186/s13023-017-0568-6,10.1186/s13023-016-0444-9,Scientific and technical considerations in research and clin...
2515,1452329836,10.1186/s13023-017-0718-x,10.1186/s13023-016-0444-9,Can we really measure what matters and how?
2516,1452329859,10.1186/s13023-017-0718-x,10.1186/s13023-016-0444-9,Roadmap towards greater PCOM use in rare diseases
2517,2142972712,10.1007/s12325-017-0653-1,10.1186/s13023-016-0444-9,"Discussion
   "
2518,1917845458,10.1002/lrh2.10032,10.1186/s13023-016-0444-9,EXPLORING THE USE OF PATIENT PREFERENCES IN CLINICAL AND REG...
17236,1965915998,10.3389/fphar.2019.01551,10.1007/s12035-016-0271-y,Discussion
17237,1594361394,10.3389/fncel.2018.00520,10.1007/s12035-016-0271-y,Materials and Equipment
17238,1977792414,10.3390/biom9120812,10.1007/s12035-016-0271-y,The 3 -Methoxy Group (Methoxy Group at R 2 Position) and Non...
17239,1977792419,10.3390/biom9120812,10.1007/s12035-016-0271-y,The 3 -Methoxy Group (Methoxy Group at R 2 Position) and Non...
17240,1977792423,10.3390/biom9120812,10.1007/s12035-016-0271-y,The 3 -Methoxy Group (Methoxy Group at R 2 Position) and Non...
17241,1590520859,10.1016/j.bbr.2018.08.003,10.1007/s12035-016-0271-y,Method
17242,1413543098,10.3390/nu10111605,10.1007/s12035-016-0271-y,1. Introduction
17243,1412550557,10.1016/j.freeradbiomed.2018.06.035,10.1007/s12035-016-0271-y,Introduction
17244,1412550559,10.1016/j.freeradbiomed.2018.06.035,10.1007/s12035-016-0271-y,Introduction
17245,1071797122,10.1159/000489547,10.1007/s12035-016-0271-y,Discussion
17246,1444850144,10.3389/fnagi.2017.00184,10.1007/s12035-016-0271-y,Results
17247,1446014120,10.1155/2017/5135429,10.1007/s12035-016-0271-y,2. Preclinical Studies of ICH: Models and Drugs
17248,1446014124,10.1155/2017/5135429,10.1007/s12035-016-0271-y,2. Preclinical Studies of ICH: Models and Drugs
24064,1999788947,10.1212/nxg.0000000000000398,10.1212/wnl.0000000000004179,Discussion
24065,2014628544,10.1212/cpj.0000000000000834,10.1212/wnl.0000000000004179,cases with a positive family history of ALS/FTD-ALS 11
24066,1600064221,10.3389/fnins.2019.00175,10.1212/wnl.0000000000004179,Psychiatric Disturbances in ALS and FTD
24067,1600064222,10.3389/fnins.2019.00175,10.1212/wnl.0000000000004179,Psychiatric Disturbances in ALS and FTD
24068,1600064234,10.3389/fnins.2019.00175,10.1212/wnl.0000000000004179,Psychiatric Disturbances in ALS and FTD
24069,1600064261,10.3389/fnins.2019.00175,10.1212/wnl.0000000000004179,Psychiatric Disturbances in ALS and FTD
24070,1600064265,10.3389/fnins.2019.00175,10.1212/wnl.0000000000004179,Psychiatric Disturbances in ALS and FTD
24071,1600064274,10.3389/fnins.2019.00175,10.1212/wnl.0000000000004179,Psychiatric Disturbances in ALS and FTD
24072,2110174119,10.1136/jnnp-2019-321737,10.1212/wnl.0000000000004179,Introduction
24073,2110174124,10.1136/jnnp-2019-321737,10.1212/wnl.0000000000004179,Introduction
24074,2110174166,10.1136/jnnp-2019-321737,10.1212/wnl.0000000000004179,Discussion
24075,1390263062,10.3389/fpsyt.2018.00133,10.1212/wnl.0000000000004179,Discussion
24076,1507842617,10.7916/d8vd8ff5,10.1212/wnl.0000000000004179,Discussion
35936,1608545003,10.3390/jcm8111973,10.3892/etm.2018.6726,4. Discussion
35937,1608545008,10.3390/jcm8111973,10.3892/etm.2018.6726,4. Discussion
51202,2047297877,10.1155/2020/1021258,10.3390/md15040089,Natural Products from Animal Source.
51203,2047297887,10.1155/2020/1021258,10.3390/md15040089,"Animal Sea Source: Holothuroidea, Penaeus, and"
51204,1607242745,10.3390/molecules24213915,10.3390/md15040089,1. Introduction
51205,2107597110,10.3389/fncel.2019.00104,10.3390/md15040089,Properties of Chitosan and Its Impact on Peripheral Nerve Re...
51206,1394890335,10.3390/md16030082,10.3390/md15040089,1. Introduction
51207,1394890336,10.3390/md16030082,10.3390/md15040089,1. Introduction
51208,1394890373,10.3390/md16030082,10.3390/md15040089,3. Discussion
51209,1392760575,10.3390/ijms19082197,10.3390/md15040089,4. Biological Functions of COS
51210,1037146175,10.3390/app8040474,10.3390/md15040089,Introduction
51211,2014035212,10.11606/d.17.2019.tde-26072019-171040,10.3390/md15040089,
51212,2014035213,10.11606/d.17.2019.tde-26072019-171040,10.3390/md15040089,
47490,2140674509,10.1371/journal.pone.0219905,10.1186/s13023-016-0444-9,"Discussion
   "
47647,2130355381,10.1186/s13023-017-0718-x,10.1186/s13023-016-0444-9,"Can we really measure what matters and how?
   "
47671,2130355405,10.1186/s13023-017-0718-x,10.1186/s13023-016-0444-9,"Roadmap towards greater PCOM use in rare diseases
   "
329108,2159963283,10.3389/fncel.2018.00520,10.1007/s12035-016-0271-y,"Materials and Equipment
   "
329328,2157771595,10.3390/nu10111605,10.1007/s12035-016-0271-y,"1. Introduction
   "
427092,2150321465,10.3389/fpsyt.2018.00133,10.1212/wnl.0000000000004179,"Discussion
   "
427180,2153015194,10.7916/d8vd8ff5,10.1212/wnl.0000000000004179,"Discussion
   "
781956,2146988992,10.3390/md16030082,10.3390/md15040089,"1. Introduction
   "
781970,2146989006,10.3390/md16030082,10.3390/md15040089,"3. Discussion
   "
